Disease,Description,Medication,Severity,Contagious
Chronic obstructive pulmonary disease (COPD),"COPD is a group of progressive lung diseases, including emphysema and chronic bronchitis, characterized by airflow limitation, coughing, wheezing, and shortness of breath.","Bronchodilators (e.g., Salbutamol), Inhaled corticosteroids, Phosphodiesterase-4 inhibitors (e.g., Roflumilast), Oxygen therapy, Antibiotics during exacerbations",Urgent,No
Spondylosis,"Spondylosis is a degenerative condition affecting the spine due to aging, resulting in stiffness, pain, and reduced mobility due to wear and tear on spinal discs and joints.","NSAIDs (e.g., Naproxen), Muscle relaxants, Physical therapy, Epidural steroid injections, Surgery in severe cases",Mild,No
Injury to the arm,"Injury to the arm refers to damage to muscles, bones, ligaments, or skin in the arm area from trauma, leading to pain, swelling, bruising, or limited movement.","Pain relievers (e.g., Acetaminophen), Cold compress, Immobilization/splinting, Antibiotics (if open wound), Physical therapy",Mild,No
Complex regional pain syndrome,"Complex regional pain syndrome (CRPS) is a chronic pain condition usually affecting a limb after injury, with symptoms including burning pain, swelling, and sensitivity to touch.","Gabapentin, Amitriptyline, Physical therapy, Corticosteroids, Nerve blocks",Urgent,No
Injury to the trunk,"Injury to the trunk includes trauma to the chest, abdomen, or back areas, possibly involving internal organs, muscles, or bones, and can range from minor bruises to serious internal damage.","Pain relievers (e.g., Ibuprofen), Ice/heat therapy, Muscle relaxants, Wound care (if external), Physiotherapy",Mild,No
Vulvodynia,"Vulvodynia is chronic pain or discomfort around the opening of the vagina (vulva) with no identifiable cause, often described as burning, stinging, or irritation.","Topical Lidocaine, Tricyclic antidepressants (e.g., Amitriptyline), Gabapentin, Physical therapy, Cognitive behavioral therapy",Moderate,No
Concussion,"A concussion is a mild traumatic brain injury caused by a blow to the head or body, resulting in temporary loss of brain function, such as confusion, memory loss, or dizziness.","Rest, Acetaminophen (avoid NSAIDs early), Cognitive rest, Hydration, Gradual return to activities",Urgent,No
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels, often causing shakiness, sweating, confusion, irritability, or fainting, common in diabetics on insulin.","Glucose tablets, Juice or sugary snacks, Glucagon injection (emergency), Adjust insulin or diabetes medication, Frequent meals",Urgent,No
Hiatal hernia,"A hiatal hernia occurs when the upper part of the stomach pushes through the diaphragm into the chest cavity, often causing symptoms like heartburn, reflux, and chest pain.","Antacids, Proton Pump Inhibitors (e.g., Omeprazole), H2 Blockers (e.g., Ranitidine), Prokinetic agents, Surgery (in severe cases)",Moderate,No
Allergy,"An allergy is an overreaction of the immune system to substances like pollen, food, or medications, causing symptoms like sneezing, itching, rash, or anaphylaxis.","Antihistamines (e.g., Loratadine), Decongestants (e.g., Pseudoephedrine), Epinephrine auto-injectors, Corticosteroids, Immunotherapy (allergy shots)",Mild,No
Acute bronchospasm,"Acute bronchospasm is a sudden constriction of the muscles in the walls of the bronchioles, often triggered by asthma or allergens, causing wheezing and difficulty breathing.","Short-acting beta-agonists (e.g., Albuterol), Anticholinergics, Systemic corticosteroids, Oxygen therapy, Magnesium sulfate (in severe cases)",Urgent,No
Degenerative disc disease,"Degenerative disc disease is a condition where spinal discs break down over time, leading to back pain, reduced flexibility, and sometimes nerve compression.","NSAIDs, Physical therapy, Muscle relaxants, Steroid injections, Surgery (e.g., spinal fusion in advanced cases)",Moderate,No
Pain after an operation,"Pain after an operation (postoperative pain) is discomfort or soreness at the surgical site, which may be due to tissue injury, inflammation, or healing processes.","Acetaminophen, Opioids (e.g., Morphine, Tramadol), NSAIDs, Local anesthetics, Nerve blocks",Moderate,No
Injury to the leg,"Injury to the leg includes trauma to any part of the leg such as the thigh, knee, shin, or ankle, potentially involving muscles, bones, or ligaments.","Pain relievers, Compression bandages, Crutches or brace, Physical therapy, Antibiotics (if open wound)",Mild,No
Gout,"Gout is a form of inflammatory arthritis caused by buildup of uric acid crystals in joints, leading to sudden, severe pain, redness, and swelling, often in the big toe.","Colchicine, NSAIDs (e.g., Indomethacin), Allopurinol, Febuxostat, Corticosteroids",Moderate,No
Otitis media,"Otitis media is a middle ear infection that commonly affects children, causing ear pain, fever, irritability, and sometimes fluid discharge from the ear.","Amoxicillin, Cefdinir, Acetaminophen for pain, Decongestants, Tympanostomy (if recurrent)",Urgent,Yes
Acute kidney injury,"Acute kidney injury (AKI) is a sudden loss of kidney function due to illness, injury, or toxins, leading to buildup of waste products in the blood.","IV fluids, Diuretics (e.g., Furosemide), Electrolyte management, Discontinue nephrotoxic drugs, Dialysis (if severe)",Emergency,No
Threatened pregnancy,"A threatened pregnancy refers to early pregnancy complications, such as vaginal bleeding or cramping, that may suggest a risk of miscarriage but with a still viable fetus.","Progesterone supplements, Folic acid, Bed rest (limited use), IV fluids (if dehydrated), Close monitoring with ultrasound",Urgent,No
Gum disease,"Gum disease (periodontal disease) is an infection and inflammation of the gums and surrounding tissues, often caused by poor oral hygiene, leading to bleeding, receding gums, and tooth loss.","Antibacterial mouthwash (e.g., Chlorhexidine), Scaling and root planing, Doxycycline, Fluoride toothpaste, Surgical interventions (if severe)",Moderate,No
Gastrointestinal hemorrhage,"Gastrointestinal hemorrhage is bleeding that occurs anywhere along the digestive tract, often presenting as vomiting blood or black, tarry stools, and can be caused by ulcers, varices, or cancer.","IV proton pump inhibitors (e.g., Pantoprazole), Endoscopic hemostasis, Blood transfusion, Octreotide (for variceal bleeding), Antibiotics (e.g., Ceftriaxone) if cirrhosis present",Emergency,No
Anxiety,"Anxiety is a mental health condition characterized by excessive worry, nervousness, or fear that interferes with daily activities, often accompanied by physical symptoms like restlessness, sweating, or rapid heartbeat.","[SSRIs (e.g., Escitalopram), SNRIs (e.g., Duloxetine), Benzodiazepines (short-term use), Buspirone, Cognitive Behavioral Therapy (CBT)",Moderate,No
Conjunctivitis due to allergy,"Allergic conjunctivitis is inflammation of the conjunctiva (eye lining) caused by allergens like pollen or dust, leading to red, itchy, watery eyes without infectious discharge.","Antihistamine eye drops (e.g., Olopatadine), Mast cell stabilizers (e.g., Ketotifen), Artificial tears, Oral antihistamines, Cold compress",Moderate,No
Drug reaction,"A drug reaction is an adverse response to a medication, ranging from mild rashes or stomach upset to severe allergic responses like Stevens-Johnson syndrome or anaphylaxis.","Discontinuation of offending drug, Antihistamines (e.g., Diphenhydramine), Corticosteroids, Epinephrine (for anaphylaxis), IV fluids and supportive care",Urgent,No
Macular degeneration,"Macular degeneration is an eye disorder that damages the macula, the part of the retina responsible for central vision, leading to blurred or loss of central vision, typically in older adults.","Anti-VEGF injections (e.g., Ranibizumab, Aflibercept), AREDS2 vitamin supplements, Photodynamic therapy, Laser therapy (rarely), Low vision aids",Moderate,No
Pneumonia,"Pneumonia is an infection of the lungs caused by bacteria, viruses, or fungi, resulting in cough, fever, chest pain, and difficulty breathing due to inflammation and fluid in the lungs.","Antibiotics (e.g., Azithromycin, Ceftriaxone), Antivirals (e.g., Oseltamivir if viral), Expectorants, Fever reducers (e.g., Acetaminophen), Oxygen therapy if needed",Urgent,Yes
Vaginal cyst,"A vaginal cyst is a fluid-filled sac that forms along the vaginal wall, often benign and asymptomatic, but can sometimes cause discomfort or pain if enlarged or infected.","Warm compress, Sitz bath, Antibiotics (if infected), Surgical drainage (if large or recurrent), Analgesics for pain",Mild,No
Carpal tunnel syndrome,"Carpal tunnel syndrome is a condition caused by compression of the median nerve in the wrist, leading to numbness, tingling, and weakness in the hand and fingers.","Wrist splint, NSAIDs, Corticosteroid injections, Gabapentin (if nerve pain), Surgical decompression (if severe)",Moderate,No
Nose disorder,"Nose disorders include structural or inflammatory issues such as deviated septum, nasal polyps, or rhinitis, causing congestion, breathing difficulty, or nosebleeds.","Nasal decongestants (e.g., Oxymetazoline), Antihistamines, Saline nasal spray, Intranasal corticosteroids, Antibiotics (if bacterial infection)",Moderate,No
Dental caries,"Dental caries (tooth decay) is the destruction of tooth enamel due to acids produced by bacteria feeding on sugars, leading to cavities, tooth pain, and infection if untreated.","Fluoride toothpaste or gel, Dental fillings, Chlorhexidine mouth rinse, Analgesics for pain, Root canal therapy (if advanced)",Moderate,No
Hypertensive heart disease,"Hypertensive heart disease includes conditions caused by chronic high blood pressure, such as heart failure, thickened heart muscle, or coronary artery disease.","ACE inhibitors (e.g., Lisinopril), Beta-blockers (e.g., Metoprolol), Diuretics (e.g., Furosemide), Calcium channel blockers (e.g., Amlodipine), Lifestyle modification",Urgent,No
Seasonal allergies (hay fever),"Seasonal allergies, or hay fever, are allergic reactions to airborne allergens like pollen, causing sneezing, nasal congestion, itchy eyes, and throat irritation, often during specific seasons.","Oral antihistamines (e.g., Cetirizine), Intranasal corticosteroids (e.g., Fluticasone), Leukotriene receptor antagonists (e.g., Montelukast), Nasal saline rinses, Allergy immunotherapy",Mild,No
Fungal infection of the hair,"Fungal infection of the hair, or tinea capitis, is a scalp infection caused by dermatophyte fungi, resulting in scaly patches, hair loss, and sometimes black dots or swelling.","Griseofulvin (oral), Terbinafine (oral), Ketoconazole shampoo, Selenium sulfide shampoo, Itraconazole",Moderate,Yes
Rectal disorder,"Rectal disorders include conditions affecting the rectum such as hemorrhoids, fissures, or prolapse, often causing pain, bleeding, or difficulty during bowel movements.","Hydrocortisone suppositories, Laxatives (e.g., Lactulose), Fiber supplements, Sitz baths, Surgical intervention (e.g., hemorrhoidectomy if needed)",Moderate,No
Stye,"A stye is a red, painful lump near the edge of the eyelid caused by a bacterial infection of an oil gland, often resolving on its own or with warm compresses.","Warm compresses, Topical antibiotic ointment (e.g., Erythromycin), Oral antibiotics (if spreading), Pain relievers, Incision and drainage (if abscess forms)",Moderate,Yes
Heart attack,"A heart attack (myocardial infarction) occurs when blood flow to part of the heart is blocked, leading to chest pain, shortness of breath, nausea, and potentially life-threatening damage to heart muscle.","Aspirin, Nitroglycerin, Beta-blockers (e.g., Metoprolol), ACE inhibitors, Thrombolytics or PCI (percutaneous coronary intervention)",Emergency,No
Obstructive sleep apnea (OSA),"OSA is a sleep disorder where the throat muscles intermittently relax and block the airway, causing repeated pauses in breathing during sleep and leading to poor rest and fatigue.","CPAP (Continuous Positive Airway Pressure), Weight loss, Mandibular advancement device, Modafinil (for residual sleepiness), Surgery (e.g., UPPP, if indicated)",Urgent,No
Psoriasis,"Psoriasis is a chronic autoimmune skin condition causing rapid skin cell growth that results in thick, scaly, red patches, often on the elbows, knees, or scalp.","Topical corticosteroids, Vitamin D analogs (e.g., Calcipotriol), Methotrexate, Biologics (e.g., Adalimumab), Phototherapy (UVB)",Moderate,No
Arthritis of the hip,"Arthritis of the hip involves inflammation and degeneration of the hip joint cartilage, leading to pain, stiffness, and reduced mobility, commonly due to osteoarthritis.","NSAIDs, Corticosteroid injections, Physical therapy, Glucosamine supplements, Hip replacement surgery (in advanced cases)",Moderate,No
Sickle cell crisis,"Sickle cell crisis is a painful episode in people with sickle cell disease, where misshapen red blood cells block blood flow, causing severe pain, fatigue, and potential organ damage.","Hydroxyurea, Folic acid, Pain management (e.g., Morphine), IV fluids, Blood transfusions (if needed)",Emergency,No
Otitis externa (swimmer's ear),"Otitis externa is an infection of the outer ear canal, often due to trapped water and bacteria, leading to ear pain, itching, swelling, and discharge.","Topical antibiotic ear drops (e.g., Ciprofloxacin + Hydrocortisone), Acidifying drops (e.g., Acetic acid), Analgesics, Ear wick for deep infections, Avoid water exposure",Urgent,Sometimes
Acute bronchiolitis,"Acute bronchiolitis is a common lower respiratory tract infection in infants, usually caused by RSV, leading to wheezing, coughing, and difficulty breathing.","Supportive care, Nasal suctioning, Saline nebulization, Oxygen therapy (if hypoxic), Antipyretics (e.g., Paracetamol)",Urgent,Yes
Pyogenic skin infection,"A pyogenic skin infection is a bacterial infection of the skin that produces pus, such as abscesses, boils, or cellulitis, often caused by Staphylococcus aureus.","Oral antibiotics (e.g., Cephalexin, Clindamycin), Topical antibiotics (e.g., Mupirocin), Incision and drainage, Antiseptic cleansing, Pain management",Urgent,Sometimes
Noninfectious gastroenteritis,"Noninfectious gastroenteritis refers to inflammation of the stomach and intestines not caused by infection, but by irritants like medications, alcohol, or food intolerances.","Antiemetics (e.g., Ondansetron), Antispasmodics (e.g., Dicyclomine), Probiotics, Hydration therapy, Dietary changes (BRAT diet)",Moderate,No
Benign prostatic hyperplasia (BPH),"BPH is a non-cancerous enlargement of the prostate gland in older men, causing difficulty urinating, weak stream, or frequent urination, especially at night.","Alpha blockers (e.g., Tamsulosin), 5-alpha reductase inhibitors (e.g., Finasteride), Tadalafil (for symptoms), Surgical options (e.g., TURP), Lifestyle changes",Moderate,No
Spinal stenosis,"Spinal stenosis is the narrowing of the spinal canal, often due to arthritis or disc problems, leading to back pain, numbness, and weakness in the legs.","NSAIDs, Physical therapy, Epidural steroid injections, Gabapentin or Pregabalin, Surgical decompression (e.g., laminectomy)",Moderate,No
Acute bronchitis,"Acute bronchitis is inflammation of the bronchial tubes in the lungs, typically caused by a viral infection, resulting in cough, mucus production, chest discomfort, and low-grade fever.","Cough suppressants (e.g., Dextromethorphan), Expectorants (e.g., Guaifenesin), Bronchodilators (if wheezing), NSAIDs, Antibiotics (only if bacterial suspected)",Urgent,Yes
Croup,"Croup is a viral infection that causes swelling of the airway in young children, leading to a barking cough, hoarseness, and difficulty breathing, often worse at night.","Dexamethasone (oral or IM), Nebulized epinephrine, Humidified air, Antipyretics, Hydration",Urgent,Yes
Idiopathic excessive menstruation,Idiopathic excessive menstruation refers to abnormally heavy or prolonged menstrual bleeding without an identifiable underlying medical cause.,"Tranexamic acid, NSAIDs (e.g., Mefenamic acid), Oral contraceptives, Levonorgestrel-releasing IUD, Iron supplements",Mild,No
Ear drum damage,"Ear drum damage (tympanic membrane perforation) is a tear or hole in the eardrum due to infection, injury, or loud noise, which may cause pain, hearing loss, or drainage.","Antibiotic ear drops (if infection), Oral antibiotics (if needed), Avoid water entry, Pain relief (e.g., Acetaminophen), Tympanoplasty (if persistent perforation)",Urgent,No
Temporary or benign blood in urine,"Temporary or benign hematuria is the presence of blood in the urine without a serious underlying cause, sometimes triggered by exercise, medications, or mild infections.","Hydration therapy, Avoid strenuous exercise, Adjust anticoagulants (if relevant), Monitor kidney function, Reassurance and follow-up",Moderate,No
Common cold,"The common cold is a viral infection of the upper respiratory tract, typically causing sneezing, sore throat, nasal congestion, cough, and mild fever.","Paracetamol, Ibuprofen, Decongestants (e.g., Pseudoephedrine), Antihistamines, Cough syrups (e.g., Dextromethorphan)",Mild,Yes
Depression,"Depression is a mental health disorder characterized by persistent sadness, loss of interest or pleasure, fatigue, and changes in sleep or appetite, significantly impacting daily life.","SSRIs (e.g., Sertraline, Escitalopram), SNRIs (e.g., Venlafaxine), Atypical antidepressants (e.g., Bupropion), Cognitive Behavioral Therapy (CBT), Psychotherapy",Moderate,No
Idiopathic irregular menstrual cycle,"Idiopathic irregular menstrual cycle refers to inconsistent or unpredictable menstrual periods without a clear medical cause, often linked to hormonal imbalance.","Combined oral contraceptives, Progestins, Metformin (if PCOS-related), Lifestyle modification, Clomiphene (for ovulation induction)",Mild,No
Schizophrenia,"Schizophrenia is a severe psychiatric disorder involving distortions in thinking, perception, emotions, language, and behavior, often with hallucinations or delusions.","Antipsychotics (e.g., Risperidone, Olanzapine), Clozapine (treatment-resistant cases), Cognitive behavioral therapy, Long-acting injectables, Psychosocial support",Moderate,No
Sepsis,"Sepsis is a life-threatening response to infection where the body’s immune system causes widespread inflammation, leading to tissue damage, organ failure, and possibly death.","IV broad-spectrum antibiotics (e.g., Piperacillin-tazobactam), IV fluids, Vasopressors (e.g., Norepinephrine), Oxygen therapy, Source control (e.g., drainage of abscess)",Emergency,Sometimes
Cholecystitis,"Cholecystitis is inflammation of the gallbladder, often due to gallstones, causing severe upper abdominal pain, fever, nausea, and tenderness.","IV antibiotics (e.g., Ceftriaxone + Metronidazole), Pain relievers (e.g., Morphine), IV fluids, NPO (nothing by mouth), Cholecystectomy (surgical removal of gallbladder)",Urgent,No
Cystitis,"Cystitis is inflammation of the bladder, usually from a bacterial infection, leading to frequent, painful urination and lower abdominal discomfort.","Nitrofurantoin, Trimethoprim-sulfamethoxazole, Fosfomycin, Phenazopyridine (for pain relief), Hydration",Moderate,No
Hemorrhoids,"Hemorrhoids are swollen veins in the anus or rectum that cause pain, itching, bleeding, or discomfort during bowel movements.","Topical hydrocortisone cream, Witch hazel pads, Stool softeners (e.g., Docusate), Sitz baths, Surgical procedures (e.g., rubber band ligation)",Mild,No
Contact dermatitis,"Contact dermatitis is a skin inflammation caused by exposure to an irritant or allergen, resulting in redness, itching, blisters, or dryness.","Topical corticosteroids (e.g., Hydrocortisone), Oral antihistamines, Moisturizers, Avoidance of allergen/irritant, Oral corticosteroids (if severe)",Moderate,No
Sinus bradycardia,"Sinus bradycardia is a slower than normal heart rate originating from the sinus node, which may be normal in athletes or caused by medications or medical conditions.","Atropine (acute cases), Temporary or permanent pacemaker (if symptomatic), Adjust medications (if drug-induced), Isoproterenol infusion (if needed), Monitor ECG",Urgent,No
Pelvic inflammatory disease,"Pelvic inflammatory disease (PID) is an infection of the female reproductive organs, often caused by sexually transmitted bacteria, leading to abdominal pain, fever, and abnormal discharge.","Ceftriaxone + Doxycycline + Metronidazole, Pain relievers, Hospitalization (for severe cases), Partner treatment, Abstain from intercourse during treatment",Urgent,Yes
Liver disease,"Liver disease refers to a range of disorders affecting the liver, such as hepatitis, fatty liver, or cirrhosis, potentially causing jaundice, fatigue, and liver dysfunction.","Lactulose (for hepatic encephalopathy), Diuretics (e.g., Spironolactone), Vitamin K (if coagulopathy), Ursodeoxycholic acid, Antivirals (e.g., Tenofovir for HBV)",Urgent,No
Chronic constipation,"Chronic constipation is a long-term condition characterized by infrequent or difficult bowel movements, often accompanied by abdominal discomfort or bloating.","Laxatives (e.g., Polyethylene glycol), Stool softeners (e.g., Docusate), Fiber supplements (e.g., Psyllium), Osmotic agents (e.g., Lactulose), Prokinetics",Mild,No
Skin polyp,"A skin polyp (skin tag) is a small, benign growth of skin that typically appears in areas where skin rubs together, like the neck, armpits, or groin.","Cryotherapy, Electrosurgical removal, Snare excision, Topical anesthesia, Histopathology (to rule out malignancy)",Mild,No
Brachial neuritis,"Brachial neuritis is inflammation of the brachial plexus nerves, causing sudden shoulder and arm pain followed by weakness or numbness.","NSAIDs, Oral corticosteroids, Gabapentin or Pregabalin, Physical therapy, Pain management",Moderate,No
Esophagitis,"Esophagitis is inflammation of the esophagus, commonly due to acid reflux, infections, or medications, causing pain when swallowing and chest discomfort.","Proton Pump Inhibitors (e.g., Omeprazole), H2 Blockers (e.g., Ranitidine), Sucralfate, Antifungal or antiviral agents (if infectious), Dietary changes",Moderate,No
Diverticulitis,"Diverticulitis is inflammation or infection of small pouches (diverticula) in the colon wall, leading to abdominal pain, fever, and changes in bowel habits.","Antibiotics (e.g., Ciprofloxacin + Metronidazole), Clear liquid diet (during flare), Pain relievers, High-fiber diet (after recovery), Surgery (if complications)",Urgent,No
Sprain or strain,"A sprain is a stretched or torn ligament, while a strain is a stretched or torn muscle or tendon; both cause pain, swelling, and limited movement.","RICE (Rest, Ice, Compression, Elevation), NSAIDs (e.g., Ibuprofen), Muscle relaxants, Physical therapy, Immobilization (if needed)",Mild,No
Idiopathic painful menstruation,"Idiopathic painful menstruation (primary dysmenorrhea) is severe menstrual cramping without an identifiable medical condition, often starting in adolescence.","NSAIDs (e.g., Ibuprofen), Oral contraceptives, Heat therapy, Vitamin B1 and magnesium supplements, Physical activity",Mild,No
Eustachian tube dysfunction (ear disorder),"Eustachian tube dysfunction occurs when the tube connecting the middle ear to the throat becomes blocked or fails to open, causing pressure, pain, or hearing issues.","Nasal decongestants, Nasal corticosteroids, Auto-inflation (e.g., Valsalva maneuver), Antihistamines, Surgical placement of ear tubes (in severe cases)",Moderate,No
Appendicitis,"Appendicitis is inflammation of the appendix, usually requiring surgery, and causes sudden lower right abdominal pain, nausea, and fever.","Surgical removal (Appendectomy), Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole), Pain management, IV fluids, NPO status before surgery",Emergency,No
Hyperemesis gravidarum,"Hyperemesis gravidarum is a severe form of morning sickness in pregnancy, leading to persistent nausea, vomiting, dehydration, and weight loss.","IV fluids and electrolytes, Vitamin B6 (Pyridoxine), Antiemetics (e.g., Ondansetron, Promethazine), Thiamine supplementation, Nutritional support (e.g., TPN if severe)",Urgent,No
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of the urinary system, commonly the bladder, causing pain during urination, urgency, and cloudy or strong-smelling urine.","Nitrofurantoin, Ciprofloxacin, Trimethoprim-sulfamethoxazole, Cranberry supplements, Hydration therapy",Moderate,No
Peripheral nerve disorder,"Peripheral nerve disorders affect the nerves outside the brain and spinal cord, leading to numbness, weakness, pain, or coordination problems.","Gabapentin, Pregabalin, Amitriptyline, Physical therapy, Alpha-lipoic acid (as supplement)",Moderate,No
Sebaceous cyst,"A sebaceous cyst is a noncancerous bump beneath the skin, filled with oily material, often caused by blocked sebaceous glands.","Warm compress, Incision and drainage (if infected), Antibiotics (if signs of infection), Surgical excision, Steroid injection (if inflamed)",Mild,No
Spontaneous abortion,"Spontaneous abortion (miscarriage) is the loss of a pregnancy before 20 weeks, often due to genetic issues or unknown causes, and may involve bleeding and cramping.","Misoprostol (to complete expulsion), Mifepristone + Misoprostol (in selected cases), Dilation and curettage (if needed), Rh immunoglobulin (if Rh-negative), Emotional support and counseling",Emergency,No
Gallstone,"Gallstones are hardened deposits of digestive fluid in the gallbladder that can block bile flow, causing abdominal pain, nausea, and sometimes infection.","Ursodeoxycholic acid (in some cases), Pain relievers (e.g., NSAIDs), Cholecystectomy (surgical removal), Antibiotics (if cholecystitis), Dietary modifications",Urgent,No
Multiple sclerosis,"Multiple sclerosis (MS) is an autoimmune disease where the immune system attacks the protective sheath of nerves, leading to weakness, vision problems, and coordination issues.","Interferon beta, Glatiramer acetate, Natalizumab, Corticosteroids (for flare-ups), Disease-modifying therapies (e.g., Fingolimod)",Moderate,No
Angina,"Angina is chest pain or discomfort due to reduced blood flow to the heart muscle, often triggered by exertion or stress, and relieved by rest or medication.","Nitroglycerin (sublingual), Beta-blockers, Calcium channel blockers, Aspirin, Statins",Urgent,No
Skin pigmentation disorder,"Skin pigmentation disorders involve changes in skin color due to excess or lack of melanin, such as vitiligo, melasma, or hyperpigmentation.","Hydroquinone cream, Topical retinoids, Azelaic acid, Chemical peels, Laser therapy (for resistant cases)",Mild,No
Personality disorder,"Personality disorders are mental health conditions involving rigid and unhealthy patterns of thinking, functioning, and behaving that impair social or occupational life.","Psychotherapy (e.g., DBT for BPD), SSRIs (for mood symptoms), Mood stabilizers (e.g., Lithium), Antipsychotics (in some cases), Group therapy",Moderate,No
Strep throat,"Strep throat is a bacterial throat infection caused by Streptococcus pyogenes, leading to sore throat, fever, swollen glands, and red tonsils with white patches.","Penicillin, Amoxicillin, Azithromycin (if allergic to penicillin), Analgesics (e.g., Acetaminophen), Salt water gargles",Urgent,Yes
Developmental disability,"Developmental disabilities are chronic conditions that begin in childhood and affect physical, learning, language, or behavioral areas, such as autism or intellectual disability.","Speech therapy, Occupational therapy, Behavioral therapy, Medications (e.g., Risperidone for irritability in autism), Special education programs",Moderate,No
Chronic back pain,"Chronic back pain is persistent or recurring pain in the back lasting more than three months, often due to structural issues, nerve damage, or degenerative conditions.","NSAIDs, Muscle relaxants, Physical therapy, Epidural steroid injections, Chronic pain management (e.g., TENS, acupuncture)",Moderate,No
Heart failure,"Heart failure is a condition where the heart can't pump blood effectively, leading to fatigue, shortness of breath, fluid retention, and reduced exercise capacity.","ACE inhibitors, Beta-blockers, Loop diuretics (e.g., Furosemide), Aldosterone antagonists (e.g., Spironolactone), Digoxin (in some cases)",Emergency,No
Conjunctivitis,"Conjunctivitis (pink eye) is inflammation of the conjunctiva of the eye due to infection or allergy, resulting in redness, discharge, and eye irritation.","Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin), Antiviral drops (e.g., Ganciclovir for herpes), Lubricant drops, Antihistamines (for allergic type), Cool compresses",Moderate,Yes
Herniated disk,"A herniated disk occurs when the inner gel-like core of a spinal disc bulges out through a tear, pressing on nearby nerves and causing back pain, numbness, or weakness.","NSAIDs, Physical therapy, Muscle relaxants, Steroid injections, Surgical discectomy (if severe)",Moderate,No
Diaper rash,"Diaper rash is skin irritation in the diaper area of infants or adults using diapers, often caused by moisture, friction, or infection.","Zinc oxide cream, Petroleum jelly, Topical antifungals (e.g., Clotrimazole), Hydrocortisone cream (short-term), Frequent diaper changes",Mild,No
